language,repo_num,user_num,ranked_repo,tags
LiveScript,1351,185,"[""polm/philtre"",""polm/palladian-facades"",""polm/deltos"",""bzar/generate-perlin"",""gugod/js-bopomofo-to-pinyin"",""gugod/livescript-ptt-crawler"",""jneen/data.stream"",""yllan/env.g0v.tw"",""ibash/grasp"",""Alxandr/totem-script""]",[]
Racket,5735,1490,"[""offby1/rudybot"",""technomancy/super-explorer"",""qerub/itunes-sexp-service"",""grassdog/The-Little-Schemer"",""csw/lc2k-scheme"",""apg/scanabanana"",""kei-s/sicp-exercise"",""elibarzilay/gabot"",""markfarrell/learn-plt"",""jdavis/tennis-court""]","[""Functional""]"
Ioke,14,0,[],[]
Julia,6574,1454,"[""pluskid/Mocha.jl"",""JuliaStats/StatsBase.jl"",""pluskid/MLOpt.jl"",""JuliaArchive/Color.jl"",""maleadt/CUDAnative.jl"",""chezou/TinySegmenter.jl"",""pao/StrPack.jl"",""chezou/MeCab.jl"",""pluskid/SimpleStructs.jl"",""jiahao/NetflixPrize.jl""]","[""Functional"",""Imperative"",""Interactive mode"",""Scripting"",""Concurrent"",""Science""]"
Hy,110,9,"[""mudphone/Hywaii"",""kartikm/hy-code"",""Singletoned/sushy""]",[]
SuperCollider,1281,263,"[""rfwatson/supercollider-tmbundle"",""rfwatson/live-loop-tool"",""catfact/monom"",""rfwatson/live-beatbox"",""rfwatson/autodrum"",""colinsullivan/seas-of-subconscious"",""catfact/monome_sc"",""monkstone/sunflow"",""catfact/cotccm"",""catfact/catfact""]",[]
Pike,91,11,[],"[""Interactive mode""]"
APL,61,12,"[""brntbeer/vigilant-computing-machine""]","[""Functional""]"
ABAP,174,93,[],[]
Squirrel,467,133,"[""pzula/hot-tub-temperature"",""geemus/echo-imp"",""yoshyosh/flowbright""]",[]
AutoHotkey,2948,1142,"[""adamjimenez/Xbox2Mouse"",""maul-esel/FormsFramework"",""maul-esel/ImportTypeLib"",""thomasleveil/QuakeLikeConsole"",""maul-esel/AHK-Util-Funcs"",""maul-esel/CGUI"",""maul-esel/ComGenerator"",""pr0d1r2/PoE-Item-Info"",""hron/SnapX"",""obra/autohotkey-windows-mac-keyboard""]",[]
Agda,549,59,"[""pcapriotti/agda-base"",""larrytheliquid/plclub-expless"",""jozefg/regex"",""larrytheliquid/agda-stdlib"",""larrytheliquid/hash-cons"",""yllan/FLOLAC14"",""maxsnew/cgc"",""bradediger/ttt"",""rntz/agda-lib"",""pozorvlak/MetaprogAgda""]","[""Functional""]"
Rebol,839,338,"[""hostilefork/rebmu"",""earl/rebol3"",""earl/r3-zmq"",""earl/Curecode"",""earl/r3-issues"",""durtal/pinhooker"",""richierocks/memoise"",""richierocks/installr"",""drudru/HexEdit""]","[""Scripting""]"
Tea,3,0,[],"[""Scripting"",""Functional""]"
Boo,158,58,"[""Tak/unityscript"",""Tak/boo-md-addins"",""Tak/boo-extensions""]",[]
MoonScript,320,43,"[""leafo/lua-mailgun"",""leafo/moonscrape"",""leafo/lapis-http"",""leafo/lua-base58"",""leafo/moonscript-textadept"",""leafo/desura-data"",""leafo/ludum-dare-32"",""leafo/giflib"",""leafo/sharecart-1"",""leafo/keys""]",[]
M,899,419,"[""zenspider/euler"",""CobyR/documents"",""alexmedearis/roundedcornerview""]",[]
Nimrod,998,120,"[""dom96/nimkernel"",""nim-lang/Aporia"",""dom96/ipsumgenera"",""dom96/gbemulator"",""dustinlacewell/dadren"",""dom96/notifications"",""judofyr/sodium.nim"",""FedericoCeratto/nimi3status"",""judofyr/hox"",""FedericoCeratto/minimize""]",[]
Turing,57,23,"[""robertzk/RCurl"",""lawremi/XML""]",[]
Opa,74,29,"[""Aqua-Ye/Opa_CSS_Without_HTML_demo"",""Aqua-Ye/TableBuilder"",""tianyicui/yixin"",""Aqua-Ye/opa-watch"",""Aqua-Ye/webshell""]",[]
Parrot,58,13,"[""ruz/nqp"",""particle/rakudo"",""rurban/winxed"",""pdcawley/nqp"",""fperrad/nqp"",""ilmari/nqp"",""perlpilot/nqp""]",[]
DIGITAL Command Language,535,0,"[""duykhoa/ud120-projects"",""cmlh/python-whois"",""artgillespie/ud120-projects"",""pcasaretto/ud120-projects"",""shaliko/ud120-projects"",""eduardo-matos/ud120-projects"",""peterson/ud120-projects""]",[]
Metal,4,0,[],[]
Arc,137,51,"[""arclanguage/anarki"",""bixo/bixo"",""akkartik/arc"",""hasenj/sehm"",""hornbeck/arc"",""rocketnia/penknife"",""shader/metagame"",""brianru/junto.io"",""akkartik/yrc"",""awwx/arc-globals-in-table""]",[]
Cuda,3633,989,"[""JinweiClarkChao/one-two-three...infinity"",""bygreencn/deep-learning-faces"",""julianromera/Alenka"",""julianromera/moderngpu"",""julianromera/back40computing"",""KenjiTakahashi/Alenka"",""alexbw/cunn"",""clementfarabet/cunn"",""clementfarabet/cutorch"",""mihaimaruseac/scaling-crypto""]",[]
Gosu,555,568,"[""dalehenrich/CypressReferenceImplementation"",""YayConnolly/google_form_to_cal_script"",""antislice/gosu-sample"",""axisofentropy/wh40k""]",[]
PLpgSQL,2266,613,"[""theory/pgtap"",""shuber/postgres-twitter"",""antzucaro/xonstatdb"",""akaariai/pgsql_shadow_tables"",""kevinsawicki/node-sqlite3"",""solidsnack/pg-sql-variants"",""jhannah/talk-pg-ltree"",""dbravender/hanja-dictionary"",""gavinwahl/colorado-department-of-revenue-salaries"",""mikaelhg/docker-mariadb-test_db""]",[]
GAP,335,126,"[""abargnesi/language""]",[]
eC,18,8,[],"[""Imperative""]"
Mako,67,25,"[""EnigmaCurry/lazy-distro-mirrors"",""sontek/superdash"",""shaiguitar/openbook"",""meunierd/pre-commit.github.io""]",[]
DOT,0,0,"[""manboubird/web-crawler-notes"",""jpcaissy/minilang"",""maco/gf-family-tree"",""bpodgursky/dagre"",""huned/dagre"",""christianhellsten/ml_class"",""thiagoarrais/mybatis-koans"",""timj/adass23-ndf-economou""]",[]
XS,88,12,"[""0xxon/perl-nss"",""ruz/HTML-Gumbo"",""fperrad/re-engine-lua"",""Leont/signal-pipe"",""rgs/p5-Die-Ception"",""leonerd/p5-UV"",""bulk88/win32""]",[]
Max,1501,324,"[""stretta/BEAP"",""trentgill/mlrv2"",""trentgill/trapped"",""sixohsix/CS-X51-Router"",""trentgill/atlas""]",[]
Terra,15,1,"[""brandonbloom/terra-java""]",[]
JSONiq,26,6,"[""joelpurra/jq-bigint"",""mivok/jq_scripts"",""szepeviktor/jq-learn"",""jjjake/jq-ia""]",[]
MAXScript,123,34,[],"[""Scripting""]"
SaltStack,1313,275,"[""flavio/docker-orchestration-demo"",""gtmanfred/predictive-orchestration"",""keimlink/django-deployment"",""ronnix/salt-gpg-pillars-demo"",""michaelkuty/salt-formula-gource"",""dmacvicar/salt-opensuse-playground"",""evaryont/aethernet"",""evaryont/openssh-formula"",""LarsFronius/sensu-formula"",""leifcr/logrotate-formula""]",[]
Stata,873,426,"[""LYY/google-hosts"",""EdwardBetts/FincLab""]",[]
nesC,552,303,"[""shapeoko/Universal-G-Code-Sender"",""x3ro/tinyos-legacy"",""BinaryConstruct/Universal-G-Code-Sender"",""arnaldorusso/windspharm"",""jgeisler0303/RPi-HY28b-adapter""]",[]
Lasso,106,234,"[""1ed/symfony-docs"",""gentooboontoo/cwls-las-reader"",""craue/symfony-docs"",""hobu/lasvalidate"",""eikes/symfony-docs"",""armetiz/symfony-docs-fr"",""armetiz/symfony-docs""]","[""Scripting""]"
Puppet,17411,4141,"[""dirkaholic/vagrant-php-dev-box"",""amaia/rails-starter-box"",""sapienza/vagrant-php-box"",""BenoitCattie/puppet-nginx"",""miccheng/vagrant-nodejs"",""duritong/puppet-mysql"",""rob-murray/vagrant-javadev-box"",""camptocamp/puppet-nfs"",""duritong/puppet-munin"",""ajjahn/puppet-samba""]",[]
Crystal,784,40,"[""will/crystal-pg"",""porras/crul"",""greyblake/crystal-icr"",""mperham/sidekiq.cr"",""sferik/twitter-crystal"",""jhass/carc.in"",""marceloboeira/spotify.cr"",""ddfreyne/rcpu"",""sferik/spellout"",""soveran/ohm-crystal""]",[]
JFlex,2,1,[],[]
Self,13,65,"[""russellallen/self"",""AdamSpitz/klein"",""AdamSpitz/self"",""doublec/self-vncviewer"",""russellallen/self-webserver"",""zenspider/self"",""rrthomas/self"",""Bystroushaak/self"",""russellallen/web-builder"",""russellallen/self-vncviewer""]","[""Object-oriented""]"
HCL,1253,149,"[""sethvargo/terraform-workshop"",""paulczar/terraform-kubernetes-openstack"",""JeanMertz/terraform-dcos"",""bobtfish/terraform-vpc-nat"",""bobtfish/terraform-vpc"",""sethvargo/terraform-workshop-atlas"",""tkellen/infrastructure"",""sethvargo/atlas-demo"",""matsuu/terraform-isucon"",""ruckuus/peekops""]",[]
Gnuplot,439,114,"[""agentzh/mysql-driver-benchmark"",""shuge/man2"",""TheFox/gnuplot-examples"",""ciaranm/research-overview-talk"",""tiagoantao/lositan"",""nviennot/quantile_estimator"",""kou/rabbit-slide-kou-nginx-tech-talks"",""textarcana/datagrams"",""ciaranm/ijcai2016-really-hard-subgraph-isomorphism-paper"",""ciaranm/sicsa2015-poster""]",[]
OpenSCAD,2421,879,"[""devonjones/OpenForge"",""justinledwards/BigDelta"",""buserror/buserror-reprap"",""devonjones/openforge-sewer"",""alexspeller/Saturn-Extruder"",""devonjones/openforge-smooth"",""calebhaye/3d-ring"",""mathias/dactyl-keyboard"",""devonjones/openforge-stone"",""moul/3d""]",[]
Coq,1421,288,"[""jwiegley/coq-pipes"",""reynir/Brainfuck"",""thoughtpolice/coq-skeleton"",""Eelis/hybrid"",""cjerdonek/formal-rcv"",""puffnfresh/cufp-2015-tutorial"",""liufengyun/stoic"",""serras/sf-exercises"",""michaelsproul/L3"",""knuton/la-girafe-sportive""]","[""Functional""]"
HLSL,61,4,[],[]
Diff,412,149,"[""chewi/cross-boss"",""jrgifford/rvm"",""rdp/ruby-19-debugger"",""jesperfj/hdev-base"",""vivien/buildroot""]",[]
mupad,8,2,[],[]
Eagle,7044,2067,"[""sparkfun/OpenLog"",""binarybucks/homA"",""0xPIT/reflowOvenController"",""ps2/rileylink"",""jgeisler0303/AGCON"",""valo/wireless_sensor"",""issackelly/fireflies"",""dnet/chrl"",""dustin/buggles"",""pda/avraek""]",[]
Processing,18896,6717,"[""lpereira/finf"",""onk/auto_circle_collage"",""manuel-rabade/thermal_printer"",""dasmithii/RecursiveLatticeGenerator"",""jdorweiler/BalancingRobot"",""d2kagw/learning-arduino"",""prusnak/processing"",""runemadsen/introduction-to-processing"",""tomds/Arduino-Tunes"",""kneath/sketches""]",[]
Bison,238,68,"[""halogenandtoast/reconstructing-ruby"",""toroidal-code/language-bison"",""nobu/streem"",""proppy/streem"",""yhara/streem"",""halogenandtoast/streem"",""romainneutron/Parser"",""leejarvis/tiger"",""jeremyf/ruby_parser"",""jaredbeck/ruby_parser""]",[]
Augeas,39,25,"[""hercules-team/augeas"",""lutter/augeas"",""manandbytes/augeas"",""dtrebbien/augeas"",""timurb/augeas"",""jtopjian/augeas"",""falexandrou/dovecot"",""tampakrap/puppet-sudo"",""mmoll/augeas"",""mfournier/augeas""]",[]
Xtend,589,152,"[""oehme/xtend-contrib"",""oehme/sobula"",""davidB/jme3_ext_deferred"",""oehme/xtend-junit"",""oehme/xtend-querydsl"",""davidB/ld32_the_dispatcher"",""davidB/jme3_ext"",""jgraichen/timetable"",""maul-esel/linear.algebra.matrix""]",[]
Handlebars,703,174,"[""calincru/KISS"",""mihneadb/no-nonsense"",""wycats/ghostium"",""scottmessinger/ember-string-helpers"",""gilesvangruisen/phantom"",""kevinjqiu/goal-ui"",""pselle/libertyjs.github.io-dev"",""emonty/broken-presentation-framwork"",""juandopazo/formatjs-site"",""jlecomte/pure-site""]",[]
VCL,97,31,[],[]
CLIPS,277,51,"[""mateioprea/phutballCLIPS""]",[]
Nix,647,122,"[""mbbx6spp/mbp-nixos"",""neatonk/nixos-conf"",""aszlig/nixgames"",""cstrahan/nixos-config"",""dejanr/nixos"",""osener/markup.rocks.env"",""valeriangalliat/xkcd-random"",""puffnfresh/hiplambda"",""avnik/nixos-configs"",""doublec/nixpkgs""]",[]
Game Maker Language,48,0,"[""leereilly/relichunterszero"",""reidab/ogr2osm""]","[""Scripting""]"
Mirah,61,7,"[""igrigorik/dubious"",""fuentesjr/polyglot-mr-jobs"",""baroquebobcat/mirah-brainfuck"",""tychobrailleur/mirah-spark""]",[]
UnrealScript,381,122,"[""stfx/ut2004mods""]",[]
IDL,1446,634,"[""anthonyjsmith/ajs"",""robintw/rtwrtm"",""dpshelio/MyFunctions-1"",""dpshelio/InterestingFunctions""]","[""Interactive mode""]"
EmberScript,54,6,[],[]
POV-Ray SDL,0,0,[],[]
Cap'n Proto,26611,1284,"[""mitar/sandstorm-test-python"",""mnutt/dav-test-server"",""mnutt/alexandria"",""paulproteus/gmg-tester"",""paulproteus/acronymy"",""paulproteus/meteor-gantt"",""paulproteus/sandstorm-sample-static-publishing""]",[]
Vue,877,103,"[""NemoAlex/glutton"",""mdlawson/vue.js-talk"",""supersheep/vue-hackernews"",""hlapp/phylotastic-ontologies"",""theotherzach/patient-variable-resolver"",""kxxoling/vue-demos"",""kxxoling/qingcheng"",""liudangyi/K-link""]",[]
Nit,14,1,[],[]
Elm,2692,144,"[""eeue56/json-to-elm"",""etaque/tacks"",""krisajenkins/elm-rays"",""etaque/elm-transit-router"",""etaque/elm-simple-form"",""etaque/elm-route-parser"",""etaque/elm-routing-example"",""passy/elm-pokemon"",""etaque/elm-transit"",""jystic/elm-font-awesome""]","[""Functional""]"
Frege,148,62,"[""puffnfresh/frege"",""johnynek/frege"",""dbushenko/restful-todo""]","[""Functional""]"
Mask,43,5,[],[]
XML,3592,3072,"[""shepting/kiwi-mac-demo"",""dylanPowers/ipfs-android"",""dlo/github-issue-filter-safari-extension"",""ashmind/StringInterpolationBridge"",""gildegoma/jenkins-docker-ansible"",""joefeser/gitextensions"",""muuki88/Chocolatey-Packages-Zippy"",""bachue/sublime-better-coffeescript"",""magnunleno/erichideki.github.io"",""gajdaw/bento""]",[]
Bluespec,68,19,[],[]
MTML,65,6,[],[]
Gettext Catalog,10312,51,"[""rdp/legado"",""donpdonp/mailpile.js"",""asbjornu/arana"",""elpaso/django-cms"",""collinanderson/django-contrib-comments""]",[]
REALbasic,78,38,"[""bdrister/AquaticPrime""]",[]
SQL,542,300,"[""tony-landis/agilebill"",""thelfensdrfer/rndb-ss14"",""seamusabshere/pgloader""]",[]
Delphi,91,25,"[""tristan2468/Hexy"",""ik5/split_lazarus"",""cpeterso/wxmodem"",""bvp/timetable"",""tuankiet65/chess-player"",""tokibito/delphi-unittest"",""esasse/Delphi-Mocks"",""esasse/delphi-joystick"",""esasse/delphi-notification"",""erictheise/spatial_equilibrium""]",[]
E,56,10,[],"[""Concurrent""]"
Eiffel,489,228,"[""gobo-eiffel/gobo"",""gitter-badger/EWF"",""gitter-badger/iron-1""]","[""Object-oriented"",""Concurrent""]"
Harbour,16,0,[],[]
Clarion,14,8,[],[]
Shen,12,2,"[""michaelsbradleyjr/shen.clj"",""panesofglass/shen-libs"",""panesofglass/Shen.java"",""panesofglass/shen-sources""]",[]
RobotFramework,185,73,[],[]
Modelica,157,120,"[""thorade/HelmholtzMedia"",""dietmarw/OMCompiler"",""dietmarw/modelica-annex60"",""dietmarw/Modelica_TDL"",""dietmarw/Chemical"",""dietmarw/Modelica-MVEM"",""dietmarw/ipsl"",""dietmarw/LinearOscillator"",""dietmarw/Physiomodel"",""dietmarw/Modelica_DeviceDrivers""]",[]
Cirru,89,8,"[""octo/swift-is-like-go""]",[]
FLUX,178,54,[],[]
Cycript,15,0,"[""keith/injectURLProtocol""]",[]
Inform 7,99790,1684,"[""Morendil/UnGoutDePoire"",""Morendil/FicPack"",""rocketnia/counterfeit-monkey"",""Calamitous/A-Day-At-Home""]",[]
SMT,55,21,"[""mattelacchiato/cafesat""]",[]
API Blueprint,2885,99,"[""greensea/youxiaapi"",""themactep/liftmaster_myq"",""tyok/test-apiary-manifest"",""kyledrake/http-api-spec"",""jsgoecke/model-s-api"",""DylanFM/bushfires"",""grobmeier/blog-blueprint-apiary"",""grobmeier/blog-blueprint-apiary-2"",""Motiejus/specifications"",""baynezy/OrganiserAPI""]",[]
KRL,125,28,[],[]
IGOR Pro,26,0,"[""cmci/FrapCalc"",""cmci/vec9""]",[]
BitBake,614,189,"[""kergoth/meta-clang"",""kergoth/meta-arago"",""kergoth/meta-qt5"",""kergoth/meta-oe"",""fishman/meta-kodi"",""plfiorini/meta-qt5-extra"",""funman/meta-odroid"",""kmwhite/meta-mali"",""bachp/meta-openembedded"",""whirm/meta-golang""]",[]
ChucK,161,22,"[""L2G/chuck-experiments""]","[""Concurrent""]"
CartoCSS,287,62,"[""yohanboniface/thank-you-map"",""Caged/maptime"",""mojodna/openstreetmap-carto"",""carsonmcdonald/toner-carto"",""durran/wienerblut"",""katydecorah/make-a-snowfall-map.tm2"",""mattions/pirate-map-alt-font"",""mattions/pirate-map"",""mileswwatkins/api.opencivicdata.org""]",[]
Bro,162,54,"[""0xxon/bro-scripts"",""0xxon/bro.vim"",""0xxon/bro-junk-drawer""]",[]
Fancy,18,1,"[""bakkdoor/redis.fy"",""bakkdoor/ripple.fy"",""bakkdoor/amorphic"",""bakkdoor/fsm.fy"",""bakkdoor/msgpack.fy"",""bakkdoor/fancy-vim"",""bakkdoor/fancywiki"",""bakkdoor/shortefy"",""brixen/fancy""]",[]
Slash,132,117,[],[]
Myghty,0,0,[],[]
Papyrus,158,71,"[""SilverIce/PosePicker""]",[]
GDScript,572,130,"[""olsonjeffery/GodotTiledImporter""]",[]
AspectJ,405,112,[],[]
HyPhy,16,1,"[""programble/advent-of-befunge""]",[]
Max/MSP,1501,324,"[""sbl/sbl-vintage-collection""]",[]
Web Ontology Language,45,0,"[""chapmanb/cwltool"",""neevor/common-workflow-language"",""brainstorm/cwltool"",""egonw/ontologies"",""egonw/edamontology"",""rvosa/flopoontology"",""hlapp/dsw"",""seandavi/HumanDiseaseOntology"",""rockneurotiko/Curso2015-2016"",""sdumitriu/human-phenotype-ontology""]",[]
Component Pascal,2908,2229,"[""widdowquinn/SI_Pritchard_Birch_2014"",""chendrix/hero-extant""]",[]
PogoScript,43,5,"[""joshski/catalogue"",""joshski/blip"",""joshski/sprout"",""joshski/trend-flower"",""wlmcewen/StarLogs""]",[]
Volt,50,11,[],[]
RenderScript,20,4,[],[]
XC,226,84,"[""marcan/xmos-speaker-dsp"",""neatonk/xmos-startkit-examples""]",[]
Dylan,120,19,"[""zacbrown/opendylan"",""abeaumont/google-code-jam"",""abeaumont/gir-dylan"",""abeaumont/libgit2-dylan"",""abeaumont/shuffle"",""abeaumont/shootout"",""abeaumont/base64"",""abeaumont/serialization"",""abeaumont/inotify-dylan"",""abeaumont/disposal""]","[""Object-oriented"",""Functional""]"
